課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,課程概述,課程目標,課程要求,評量方式,備註,預期學習時數,詳情頁URL
服務學習甲,陳宜龍,15338,AC0006,603 001G0,必帶,農業化學系,,,2 類,中文授課,1,30,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",第一堂課請於開學第一週星期一第五節於第五教室集合，之後由導師安排。,,https://course.ntu.edu.tw/courses/114-1/15338
服務學習乙,王尚禮,45451,AC0007,603 001H0,必帶,農業化學系,,,1 類,中文授課,1,30,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",第一堂課請於星期二第五節於農化一第五教室集合，之後由導師安排。,,https://course.ntu.edu.tw/courses/114-1/45451
農業化學導論,陳宜龍,49129,AC2001,603 20100,必帶,農業化學系,五 6,,1 類,中文授課,1,54,本課程旨在介紹農業化學研究之範疇、與社會之連結，以及未來之展望，主題包括生態環境保護 (土壤與環境科學；植物生理與化學) 和生物資源利用 (微生物與生物技術；生物資源利用) 之相關課題。,每個主題原則上由系上老師授講授，透過介紹其研究領域及未來展望，來增進學生對農業化學領域之了解。,,"20%	

出席


80%	

心得報告

每週撰寫課後心得，於次週上課前(每周五中午12：00)，將作業上傳至NTU COOL，遲交者與未交者，該次報告以零分計。
除了當週授課老師特別規定外，作業請以PDF格式上傳。

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與吳蕙芬、賴喜美、蘇南維、洪傳揚、林乃君、徐駿森、陳佩貞、施養信、羅凱尹、王尚禮、許正一、盧  毅、黃玉萍合授,,https://course.ntu.edu.tw/courses/114-1/49129
土壤學,許正一,38083,AC2003,603 21100,必修,農業化學系 / 植物醫學碩士學位學程,"二 3, 4",,3 類,中文授課,2,100,"1. 本課程主要係以二年級學生為授課對象，於每週二上午 10時20分至12時10分，學程為上課 2小時 2學分，為必修課程。

2.主要授課內容包括: 簡介、土壤母岩與礦物、土壤物理性、土壤水、土壤與水循環、土壤空氣與溫度、酸性土、鹼性土、土壤生成及其作用、土壤膠體、土壤有機物、土壤氮磷鉀、微量元素、土壤與植物養份管理、土壤化育作用、土壤調查與分類、臺灣土壤介紹、土壤沖蝕與水土保持、土壤排水與灌溉、水土污染等。",了解土壤學之基本概念，應用在農業及環境、生態之探討上，讓同學了解土壤學有趣之處及其奧祕.,"本課程中文授課,使用英文教科書。","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","農化系 本課程中文授課,使用英文教科書。
植醫碩士學程 本課程中文授課,使用英文教科書。群組必修，群組別:C(作物,土壤與雜草科學領域)。","預期每週課前學習時數:2小時
預期每周課後學習時數:1小時",https://course.ntu.edu.tw/courses/114-1/38083
土壤學,王尚禮,24442,AC2003,603 21100,選修,農藝學系 / 植物醫學碩士學位學程 / 農業化學系,"二 3, 4",,2 類,中文授課,2,40,"1. 本課程以農藝系學生為主要授課對象。
2. 主要授課內容包括: 簡介、土壤母岩與礦物、土壤物理性、土壤水、土壤與水循環、土壤空氣與溫度、酸性土、鹼性土、土壤生成及其作用、土壤膠體、土壤有機物、土壤氮磷鉀、微量元素、土壤與植物養份管理、土壤化育作用、土壤調查與分類、臺灣土壤介紹、土壤沖蝕與水土保持、土壤排水與灌溉、水土污染等。",學習土壤科學的基本原理，以及土壤組成、土壤性質和土壤功能之重要觀念。培養學生理解土壤的形成、分類、物理、化學與生物特性，並進一步認識其在農業生產、環境保護及資源永續利用中的角色。了解土壤品質對植物生長和環境生態的重要性，人類活動對土壤品質的影響，以進一步應用土壤科學知識於農業與環境管理，並發展可能的永續發展對策。,無預修課程。,"50%	

期中考


50%	

期末考

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","農藝系、農化系 限農藝系及非農化系學生。
植醫碩士學程 群組必修，群組別:C(作物,土壤與雜草科學領域)。",3小時,https://course.ntu.edu.tw/courses/114-1/24442
土壤學實驗,許正一,20085,AC2004,603 21200,必帶,農業化學系,"二 7, 8, 9",,2 類,中文授課,1,30,課程內容包括：土壤樣本之採集。土壤樣本之製備與土壤水分含量測定。土壤質地之測定。容積比重、真比重與孔隙度之測定。田間容水量之測定。土壤導水度之測定。土壤剖面觀察、描述及幻燈片介紹。土壤反應。石灰需要量之測定與石灰品質之鑑別。土壤膠體之性質。土壤導電度之測定。土壤有機物。台灣各類型土壤之生成及其特徵。土壤全氮素之測定。土壤有效氮、磷、鉀之測定。,"使學生於修畢本課程後,有能力進行一般土壤之基本性質分析。",能單獨完成一般土壤之基本性質分析。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",大二必修與王尚禮合授,預期每週課前與課後學習時數:分別為2小時。,https://course.ntu.edu.tw/courses/114-1/20085
土壤學實驗,許正一,50996,AC2004,603 21200,必帶,農業化學系,"一 2, 3, 4",,2 類,中文授課,1,30,課程內容包括：土壤樣本之採集。土壤樣本之製備與土壤水分含量測定。土壤質地之測定。容積比重、真比重與孔隙度之測定。田間容水量之測定。土壤導水度之測定。土壤剖面觀察、描述及幻燈片介紹。土壤反應。石灰需要量之測定與石灰品質之鑑別。土壤膠體之性質。土壤導電度之測定。土壤有機物。台灣各類型土壤之生成及其特徵。土壤全氮素之測定。土壤有效氮、磷、鉀之測定。,"使學生於修畢本課程後,有能力進行一般土壤之基本性質分析。",能單獨完成一般土壤之基本性質分析。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",大二必修與王尚禮合授,預期每週課前與課後學習時數:分別為2小時。,https://course.ntu.edu.tw/courses/114-1/50996
土壤學實驗,許正一,56481,AC2004,603 21200,選修,農藝學系 / 農業化學系,"一 7, 8, 9",,2 類,中文授課,1,30,課程內容包括：土壤樣本之採集。土壤樣本之製備與土壤水分含量測定。土壤質地之測定。容積比重、真比重與孔隙度之測定。田間容水量之測定。土壤導水度之測定。土壤剖面觀察、描述及幻燈片介紹。土壤反應。石灰需要量之測定與石灰品質之鑑別。土壤膠體之性質。土壤導電度之測定。土壤有機物。台灣各類型土壤之生成及其特徵。土壤全氮素之測定。土壤有效氮、磷、鉀之測定。,"使學生於修畢本課程後,有能力進行一般土壤之基本性質分析。",能單獨完成一般土壤之基本性質分析。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","農藝系 與王尚禮合授
農化系 限農藝系及非農化系學生。與王尚禮合授",預期每週課前與課後學習時數:分別為2小時。,https://course.ntu.edu.tw/courses/114-1/56481
土壤學實驗,許正一,44183,AC2004,603 21200,選修,農藝學系 / 農業化學系,"四 3, 4, 5",,2 類,中文授課,1,30,課程內容包括：土壤樣本之採集。土壤樣本之製備與土壤水分含量測定。土壤質地之測定。容積比重、真比重與孔隙度之測定。田間容水量之測定。土壤導水度之測定。土壤剖面觀察、描述及幻燈片介紹。土壤反應。石灰需要量之測定與石灰品質之鑑別。土壤膠體之性質。土壤導電度之測定。土壤有機物。台灣各類型土壤之生成及其特徵。土壤全氮素之測定。土壤有效氮、磷、鉀之測定。,"使學生於修畢本課程後,有能力進行一般土壤之基本性質分析。",能單獨完成一般土壤之基本性質分析。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","農藝系 與王尚禮合授
農化系 限農藝系及非農化系學生。與王尚禮合授",預期每週課前與課後學習時數:分別為2小時。,https://course.ntu.edu.tw/courses/114-1/44183
土壤化學,王尚禮,23335,AC3002,603 31000,選修,農業化學系 / 永續資源學程,指定閱讀,,2 類,中文授課,2,30,以化學的基本觀念和原理來闡述土壤的化學組成、性質和反應，從而理解元素循環、土壤健康、植物營養供給和土壤污染等現象。,提供土壤環境科學之化學基礎與應用，以及跨領域之基礎知識與訓練：介紹土壤化學理論基礎(化學熱力學與動力學)，以及土壤化學反應機制(土壤組成之交互作用，以及溶解、沉澱、吸附和氧化還原等反應)，以及主要元素之地球化學循環與植物利用效率。所獲得之知識，將有助於應用於如何提升土壤肥力與健康，進而促進作物健康的生長；維護環境品質與生態安全，進而發展永續農業與淨零碳排之土壤管理策略。,土壤學,"50%	

作業


40%	

考試


10%	

出席率

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。群組必修，8科目中必修7學分。",3-6小時,https://course.ntu.edu.tw/courses/114-1/23335
植物生理學,盧  毅,58660,AC3007,603 32710,必修,農業化學系,"三 3, 4",,1 類,英文授課,2,50,"The course focuses on the major aspects of the basic physiological functions and the factors in relation to plant growth and development. The aim is to give a background in plant biology to students, for them to gain a deeper understanding of processes that are important for agriculture, horticulture and industry. And this class will provide the tools required to further study plant biology. The plant hormones will be presented in detail, as well as how plant respond to changes in their environment, for instance to light, or to stress.",To acquaint students with understanding of fundamentals of plant physiology as well as the application in crop cultivation.,"Students with background in botany, plant biology or nutrition.","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。群組必修，8科目中必修7學分。,,https://course.ntu.edu.tw/courses/114-1/58660
環境微生物學,林乃君,15047,AC3009,603 33100,必修,農業化學系 / 植物醫學碩士學位學程,"四 3, 4",,2 類,中文授課,2,62,"環境微生物這門課中將著重於介紹五個普遍的議題,包括:(1)基礎篇章介紹,(2)微生物環境,(3)檢測微生物活性,(4)環境微生物活性對於養分循環與面臨環境污染之影響所及,加以探討,(5)檢測並管控環境中的致病菌",引導學生認識環境微生物及環境微生物的來源，討論致病環境微生物的檢測與管控，並了解它與人類之間相互依存的關係。,修過普通微生物學,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","農化系 本課程中文授課,使用英文教科書。群組必修，8科目中必修7學分。與吳蕙芬、羅凱尹合授
植醫碩士學程 本課程中文授課,使用英文教科書。群組必修，群組別：C(作物，土壤與雜草科學領域)。與吳蕙芬、羅凱尹合授",,https://course.ntu.edu.tw/courses/114-1/15047
環境微生物學實驗,林乃君,21045,AC3010,603 33200,選修,農業化學系,"一 8, 9, 10",,2 類,中文授課,1,15,大家好，歡迎加入 NTU SEA Phages“尋找噬菌體”計畫。這個課程是以環境衛生物實驗課為平台，導入美國學者透過 Science Education Alliance-Phage Hunters Advancing Genomics and Evolutionary Science (SEA Phages) program 為大學生所設計的實驗內容，讓大家在大學生時代就加入生命科學的研究行列，並瞭解研究的真正意義。SEA Phages 計畫的總目標是從土壤中分離並純化噬菌體（第一學期），繼而進行更深入的噬菌體研究 (第二學期)。噬菌體是以細菌為宿主的病毒，它是其細菌宿主的天敵，但有時也會選擇和其宿主和平共存。噬菌體這種雙面夏娃的個性，無疑引起人們對他起了好奇心。了解噬菌體的多樣性和特質，對生物學的基本性質和應用均會有莫大助益。每種噬菌體都有其特定的宿主，這個學期我們是採用鏈黴菌為細菌宿主，透過幾個時期獵取過程，讓大家都能成為一流的 Phage hunters！,"在這個為期一個學期的研究裡，我們希望各位同學都能體會科學家從事研究時的喜怒哀樂，擁有屬於你自己的科學作品，並從中開始建立良好的基本習慣和技能。一個好的科學家要有什麼樣的研究習慣和技能呢？說來話長，不過，大概包括下列幾項：

‧	讀取科學文獻
‧	設計實驗
‧	正確且心無旁騖地操作實驗
‧	仔細紀錄各個實驗的目的，過程，結果和反思
‧	不怕失敗，從錯誤中學習的精神
‧	和他人溝通/分享研究成果

如同學習任何一種運動或音樂技能 (打網球、街舞、彈吉他和彈鋼琴等)，上述的六項技能，絕非一蹴可及。一旦知道好的方法，將課本知識融入到實驗裡，加上不斷的練習，日子久了，自然而然，便會成為你認知的一部分。這個課程的作業和學習活動都是拋磚引玉，根據這個目標而設計的。包括：

‧	課堂前的小小測驗 (pre-lab quiz)(採 open-book 方式，實驗課前一天繳交至 ceiba)
‧	實驗紀錄檢查 (Lab notebook recording)
‧	實驗操作技能檢定 (Lab Practical)
‧	讀書討論 (Reading material discussion)（指定讀物會貼在網上）
‧	實驗成果海報製作 (Poster production)

希望大家 (老師和學生) 本著“同在一條船”的理念，相互扶持，互助互學，繼續將台大“噬菌體獵人” 的傳統傳承下去：）",修習過或正在修習微生物學,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-1/21045
分子生物學,羅凱尹,32782,AC3037,603 33630,必帶,農業化學系,"五 2, 3, 4",,2 類,中文授課,3,50,本課程為經由簡介分子生物學的歷史，基因性質，基因遺傳物質(DNA、RNA)， 蛋白質的合成等概念介紹，進而導引進入原核生物轉錄等分子生物學基本知識。繼而介紹真核生物轉錄、後轉錄等分子生物學導論。最後介紹核醣體、tRNA 結構、 DNA 複製、基因重組與轉位等分子生物學的基本知識。,整合現代分子生物學之概念及相關技術，提供學生分子生物學的基本知識，進而提供他們未來能於生物科學領域進行相關研究，得以更進一步的探究。,預修課目：普通微生物學,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",中文授課英文書籍。與吳蕙芬、林乃君合授,,https://course.ntu.edu.tw/courses/114-1/32782
專題研究一,徐駿森,26526,AC4012,603 49610,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-1/26526
專題研究一,羅凱尹,46261,AC4012,603 49610,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-1/46261
專題研究一,盧  毅,38407,AC4012,603 49610,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-1/38407
專題研究二,顏瑞泓,95085,AC4013,603 49620,選修,農業化學系,,,2 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-1/95085
專題研究二,蘇南維,30848,AC4013,603 49620,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-1/30848
專題研究二,王尚禮,11808,AC4013,603 49620,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-1/11808
專題研究二,施養信,24288,AC4013,603 49620,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-1/24288
專題研究二,洪傳揚,18874,AC4013,603 49620,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-1/18874
專題研究二,陳佩貞,16600,AC4013,603 49620,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-1/16600
專題研究二,羅凱尹,10756,AC4013,603 49620,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-1/10756
專題研究二,陳宜龍,58765,AC4013,603 49620,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-1/58765
專題討論,徐駿森,25574,AC4015,603 49100,必修,農業化學系,"二 8, 9",,1 類,中文授課,1,60,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與吳蕙芬、賴喜美、蘇南維、洪傳揚、林乃君、陳佩貞、施養信、羅凱尹、王尚禮、許正一、盧  毅、陳宜龍、黃玉萍合授,,https://course.ntu.edu.tw/courses/114-1/25574
校外實習,賴喜美,50672,AC4020,603 48810,選修,農業化學系,,,2 類,中文授課,1,30,待補,待補,待補,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",實習課程。今年結合食品學程、食科所及本系以臺灣大學名義申請與實習機構合作產學企劃，利用寒暑假進行。,,https://course.ntu.edu.tw/courses/114-1/50672
學士論文上,賴喜美,35748,AC4023,603 49501,選修,農業化學系,,,2 類,中文授課,1,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",須經指導教授同意。為全學年課程。,,https://course.ntu.edu.tw/courses/114-1/35748
學士論文上,洪傳揚,33403,AC4023,603 49501,選修,農業化學系,,,1 類,中文授課,1,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",須經指導教授同意。為全學年課程。,,https://course.ntu.edu.tw/courses/114-1/33403
學士論文上,盧  毅,58401,AC4023,603 49501,選修,農業化學系,,,1 類,中文授課,1,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",須經指導教授同意。為全學年課程。,,https://course.ntu.edu.tw/courses/114-1/58401
學士論文上,陳宜龍,36576,AC4023,603 49501,選修,農業化學系,,,1 類,中文授課,1,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",須經指導教授同意。為全學年課程。,,https://course.ntu.edu.tw/courses/114-1/36576
